currency,year,exchange_rate_to_one_sgd
SVC,2022,6.346845287543283
TRY,2022,12.007077114066217
SEK,2023,7.922271510660744
GNF,2023,6407.140682104859
BND,2023,0.9996919714655593
CLF,2023,0.02275971036284194
FKP,2023,0.5998897178820841
SLL,2023,13947.166779399786
CVE,2023,75.99655477270434
CZK,2010,13.996381193506867
MXN,2010,9.189382147238568
BOB,2010,5.046774512835575
DJF,2010,125.88951525422205
LYD,2010,0.9153197527419092
MWK,2010,108.50985112418773
UGX,2010,1578.8647238082772
XCD,2010,2.185355066826321
DKK,2011,4.261384573987602
HTG,2011,31.514143342473044
MGA,2011,1584.1820023757778
PKR,2011,254.32171771029624
QAR,2011,2.883611536200751
SVC,2011,6.827073207869414
DKK,2012,4.63728115797911
BRL,2012,1.5623505355534066
AED,2012,2.934862372274921
BSD,2012,0.7960648303091801
JMD,2012,69.62917268794824
KWD,2012,0.22300092916803815
PGK,2012,1.582101047750513
PYG,2012,3462.3386563935546
BRL,2013,1.7216409724600745
THB,2013,24.4780516160271
BBD,2013,1.5582737854265523
KWD,2013,0.22583628768448494
MVR,2013,12.130759677150493
RSD,2013,67.97057773375799
BRL,2014,1.8537519277945274
BND,2014,0.9854952181532849
CLP,2014,441.9208299830705
DJF,2014,137.31556898561772
KYD,2014,0.6464979673094284
LAK,2014,6206.286659972435
LBP,2014,1171.0419514876621
MAD,2014,6.461024864384579
STD,2014,14572.254632894952
TTD,2014,4.954374498109167
USD,2015,0.7284187673080531
CAD,2015,0.9295018961402514
MYR,2015,2.785361856973862
THB,2015,24.892136608906615
BBD,2015,1.429682623067189
GHS,2015,2.7381305264456066
MUR,2015,24.563364774881947
RWF,2015,506.3639862630578
VND,2015,15698.330566315246
XPF,2015,78.2438911784731
CAD,2016,0.9597508269851932
THB,2016,25.547195587849647
KWD,2016,0.21803376286777598
KZT,2016,245.92961933363148
NGN,2016,185.218309693004
STD,2016,16040.194980277822
VND,2016,15951.357581880899
XAF,2016,429.45625221264316
HUF,2017,198.45755025203496
TRY,2017,2.6417089389751913
IQD,2017,829.8417575900754
IRR,2017,23881.36146825159
JOD,2017,0.5086036610859932
KES,2017,73.63548511496015
NGN,2017,239.42445585461806
RSD,2017,77.88766769607936
SOS,2017,393.2159028548146
TND,2017,1.7406932450166412
BGN,2018,1.2237919351401618
CZK,2018,16.100975866580487
MYR,2018,2.983728547881886
SGD,2018,1.0
EUR,2018,0.6280939119596554
BHD,2018,0.27768393917744283
BND,2018,0.7657043457069269
GTQ,2018,5.453754536167057
ISK,2018,79.96038062983959
MAD,2018,6.771316887733315
PGK,2018,2.3924479725678105
RWF,2018,639.0889259953028
TWD,2018,21.728814763668623
NOK,2019,6.450791081813856
CNY,2019,5.058095961050582
BND,2019,0.9402972289961546
BWP,2019,7.7806325495124256
DOP,2019,37.069303509372595
ETB,2019,21.176596007425154
PKR,2019,109.48583120187762
VND,2019,16636.471569326044
SEK,2020,6.670651328814993
KZT,2020,299.648676487016
MGA,2020,2755.847100852543
MUR,2020,28.116008575206347
SOS,2020,411.9489135209458
UGX,2020,2671.4144487186054
GEL,2020,2.3194884055835296
BTC,2020,6.262070839016323e-05
BAM,2021,1.2306640415844465
GTQ,2021,5.758020024786112
HUF,2021,225.63395702877565
IQD,2021,1086.4698039451023
LSL,2021,11.140369904308647
MDL,2021,13.131335422741836
MNT,2021,2121.8030456810034
MRU,2021,26.89999353000587
MWK,2021,594.8374581641862
TMT,2021,2.608638725967358
ZMW,2021,14.87732177287171
BOB,2022,4.999520711586569
COP,2022,3085.577785179914
DZD,2022,103.07349923981135
HTG,2022,85.14120080591177
JOD,2022,0.5146376762721837
MKD,2022,42.45618557342474
SOS,2022,419.5419507202109
UGX,2022,2675.133087989196
UYU,2022,29.881161153646808
YER,2022,181.51165382964643
BDT,2023,80.08785023701043
RSD,2023,80.75955828983169
